Source File Name:	Analyzer
Signal:	FFT - Vib & Ref1 H1 Acceleration / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s² / N ]	[ ° ]
182.5	0.9176313	-126.6892
183	0.9057847	-126.0224
183.5	0.888435	-125.2077
184	0.871976	-124.4454
184.5	0.8555713	-123.499
185	0.8360499	-122.2837
185.5	0.8160694	-120.8907
186	0.797425	-119.5562
186.5	0.7784249	-117.6359
187	0.7605024	-115.4497
187.5	0.7426046	-113.1371
188	0.7327654	-110.3818
188.5	0.7253872	-107.3861
189	0.7231481	-104.2465
189.5	0.7291979	-101.177
190	0.7430228	-98.4593
190.5	0.7554086	-95.51159
191	0.7723455	-93.52288
191.5	0.7916211	-91.21191
192	0.8128747	-89.37335
192.5	0.8342491	-87.96188
193	0.8550911	-86.54941
193.5	0.8776627	-85.13148
194	0.9014893	-83.66373
194.5	0.9244741	-82.83229
195	0.9475621	-81.90613
195.5	0.9679813	-81.14177
196	0.9921761	-80.06418
196.5	1.013201	-79.60457
197	1.03678	-78.8296
197.5	1.057412	-78.27113
198	1.081837	-77.77824
198.5	1.10311	-77.49693
199	1.126044	-77.12934
199.5	1.145093	-77.06114
200	1.160642	-76.73938
